0 CP,Mercy ,Something Unlimited Jump,"She's a tough woman with a checkered past who is currently working as your personal bodyguard and chauffeur, as well as having some story involving you. In addition to her incredible fighting skills, she also has all the needed skills to act as a big corporation’s CEO. Furthermore, her true nature is that of an adrenaline junkie, as she loves the excitement brought by this crazy life of heists and explosions. She even got a tommy gun next to her bed due to her feeling naked when she doesn't have a gun on her."
600 CP,Citadel At The End Of Time,Loki ,"It seems you have your home-away-from-everything. Located on an asteroid in the end of time and carved in situ from the black stone with gold vein embellishments, from here it is possible to see the Sacred Timeline pulsating as a tangible force in a vast circle around it. You can choose whether yours is in partial ruins like the residence of He Who Remains or is more intact. In this location, it is impossible to perform actions that would create branches, such as the ones detected by the Time Variance Authority, nor does anything here age. You’ll find it quite a secure location too, as it’s impossible to get to this Citadel using means such as a TemPad due to lack of anything for it to lock onto. Along with other features you might have already seen, this one includes a vast display room where you can keep any artefacts you acquire, as well as something akin to a holographic security system that can be used to recreate a selection of the greatest warriors from across the timeline to defend you from any intruders. Just be aware that the latter has limits, as the main defence of this facility is its nigh-unreachable location. In future Jumps, you can choose to have your Citadel appear in a similarly secure location outside of conventional time and space or placed somewhere a little easier to access."
600 CP,Golden Army,Hellboy,"Turns out the goblin blacksmith made double the amount of soldiers King Balor requested so he could put down that he made more on his sales reports for the year. Now you have the other half of the Golden Army; 70 time 70 golden soldiers. Individually each one is powerful and indestructible; a massive machine much larger than a man, armed with blades on their arms that can slice through swaths of men with ease, pulling themselves together and repairing their bodies automatically when they get damaged. Unfortunately, though they have their own stores of magical power, they lack a means of controlling them. And so they sit; dormant, silent... indestructible. Though you may be able to control them through other means- such as by having spirits possess each one- the easiest method would be to create (or purchase) a Crown of Control that could be attuned to them. The army lies in a great underground vault, impenetrable to all save yourself, and follows you on your journey."
600 CP,Heart of the World,TES: Daedra,"His was the heart of the world, unable to be destroyed so long as the world existed, for one was made to satisfy the other. Like the Doom Drum, or at least similarly, you can tie your life force, your very soul, onto something. This could be an object, a person, or even an entire realm. So long as your chosen tether
exists, you cannot be killed, returning again and again without end. Should they think to directly attack your soul, they will find that similarly useless, as it would take the full effort of a Prince to even begin altering it in some way, unless you were to give consent."
600 CP,Large Island,TES: Dovah,"The island of Solstheim is a remote place, it has a long history of habitation by other races, but it has traditionally been primarily Nordic in influence. The southern half is relatively temperate, and houses the town of Raven Rock, as well as Fort Frostmoth. The northern half is more arctic in nature, with constant snow and large glaciers. In the center is a mighty temple, built around one of the six All-Maker Stones
that dot the island. You are this island’s new master, with all who inhabit it bowing to your rule. Should you desire it, the southern half of the island may better resemble Morrowind, like it was after the eruption of Red Mountain."
600 CP,Palatial Castle​:,The Witcher Novels,"An august person with as high breeding as yourself deserves nothing less than this to live in. An enormous castle/palace that is your by birthright, not only is this on an enormous estate but it is both beautiful and defensible by nature. This castle may be in any design you desire but it is roughy between the royal palace of Vizima and Windsor castle in size, seated on 1000’s of hectares of land. The castle is automatically fully staffed by servants, and guard NPC’s that maintain the building and lands to the greatest extent possible for the setting. You will never suffer from poor servants, or traitorous guards. While they default to normal people and update from jump to jump you may companion any of these individuals , and the castle and it’s
people retain any upgrades you give them."
600 CP,The Fisher King,Merlin (BBC),"Through the use of a complicated ritual, you may bind yourself to an area of land encompassing several dozen square miles. You have influence over the weather and state of your land and a degree of control over the mood of it's inhabitants. In addition, if fatally wounded while on your land, you may go into a state of barely conscious hibernation wherein you will survive, but not heal on your own, and the land will become barren and hostile."
600 CP,The Labyrinth ,Labyrinth ,"A kingdom, a domain, of mazes within mazes, forests and tunnels, bogs and towns, all
crowned with a castle – this is a copy of the Labyrinth as your personal dimension. My
Labyrinth. Perhaps you’re familiar with it? While its native creatures will be found in their usual variety and abundance, if you do not have your own goblins, there will be hardly any of those once you leave my universe. Alternatively, it might be a realm very similar to my Labyrinth – a domain neighbouring Jareth’s own, yet still built around Sarah’s fantasies.”"
600 CP,War Council ,Dragon Age: Inquisition,"By wise council will you wage war. You will attract a particular kind of follower: hyper competent and incredibly loyal. A limited number of followers will always rally to your banner—masters of war, spymasters, diplomats par excellence, archmages—individuals who could lead of their own accord but who instead follow you. These individuals will bring innumerable contacts and resources from within their respective fields and will be willing to put those contacts to your use. Your council members will have their own agendas and will attempt to enlist your aid in furthering those agendas, but their personal projects and desires will never work explicitly against your goals."
600 CP,Noble Estate ,Dracula,"You are no mere Mr. Anonymous. You are Lord Jumper. You have the title and everything. And with it comes various estates, holdings, and a sizable fortune. You are an English lord with all that would come with it. In future jumps you will possess a similar position if applicable, and even if there are no - remnants - of such aristocracy you will possess lands and fortune similar to one. This won’t necessarily make you one of the very richest people in the country, much less the world, but you have the holdings and fortune of one of the wealthy elite. If you are a drop in this will be something you have legal possession of and all the paperwork in order (and taxes for claiming it paid), if not it may incorporate itself into your background and origin, or be a sudden and unexpected inheritance."
600 CP,Dragonfires ,The Elder Scrolls IV - Oblivion (By YJ_Anon).pdf,"The Dragonfires are the barrier that keeps Tamriel separated from the planes of Oblivion. A symbol of the divine covenant between the Dragon-Blooded Emperors and Akatosh, so long as they are lit the Empire would be safe from Daedric incursion- though the Daedric Princes may take form in their lesser aspects, or leave invitations for mortals to venture into their realm, none would be capable of moving vast armies of their kind through to Mundus. Most two-way portals wouldn’t be able to handle the strain of staying open for more than a few minutes if they were opened under the aegis of the Dragonfires, and that would be a best case scenario. Thus, you are fortunate that you have your very own Dragonfires- a ward against otherworldly incursions of all types. A shield that protects your land- and only your land- from any attempts to invade it through extra-dimensional means. Portals fizzle out, teleportation fails to work, and even attempts to subsume your land into another realm will fail utterly. This does not prevent would-be invaders from coming in peace, and if you are willing to accept the risks you may choose to extinguish the Dragonfires yourself- though thankfully the method for relighting them is only the work of a moment. Fortunately, their protection knows no barriers itself- if you control an entire world, the entire world shall be protected. If a village swears fealty to you within the borders of another nation, it too shall be protected. Even if entire realms and planets become yours, this protection will extend to them. Also included is your very own amulet, similar to the Amulet of Kings in that it can be used to relight your Dragonfires and that it can only be worn or used by you and those who share your bloodline."
600 CP,City of Renown ,The Lord of the Rings - Twilight of the North,"Fornost, Tharbad, Pelargir, Minas Anor, Osgiliath, Minas Ithil, Umbar... The renowned cities of Middle-earth are truly awe-inspiring works filled with people and mighty walls. Even the least of them are well made and defensible. Now you can have one of them for your own! Filled with a generic population fit for the culture of the city, and lacking the artifacts within the originals... but the city itself will be at its full splendor and connected to your warehouse or accessed by pocket dimension with a special key you are given."
600 CP,Black Ark,Warhammer Fantasy Dark Elves Jumpchain,"One of the venerable floating cities upon which Malekith and the Druchii fled Nagarythe so long ago, now turned into a vessel purely intended for war and plunder. This Ark is filled to the brim with vicious, bloodthirsty, hardened Black Ark Corsairs, all of whom are unflinchingly loyal to you. It also has spacious quarters for you to the scale of a small mansion, a hold that can carry incalculable tons on plunder, cells and stocks for the swift breaking of slaves, and even a clutch of ten War Hydras for more, stubborn opposition. Any troops, or beasts, that are slain repopulate on the Ark the following day. The singular catch, is that your Corsairs may only go 100 miles inland, which should be a more than fair allowance for raiding."
800 CP,Talisman of the Creator ,Conan the Jump,"This glowing green sphere of rock supposedly was used in the creation of the world, but now its power is a threat to its integrity. It can be used to create great storms and earthquakes, able to bring down walled cities and lay them low. It must be brought near the location in question, but when used - through means you understand - it will create powerful disasters strong enough to lay waste to the mightiest fortresses of this day, or to ravage whole kingdoms. It draws its power from light, but unlike the canon example it will never grow more powerful, and thus an uncontrollable threat to the entire world, though excessive use might see it need to be recharged for a time by exposure to light. Only women can touch this ‘talisman’, but because you’re paying CP you are able to touch and handle it regardless of your gender."
800 CP,Hyrule ,The Legend of Zelda Series ,"There is so much beauty to witness and many mysteries to uncover within this land, so much that it's unclear if you'll be able to see all of it within just ten years. But what if you didn't have to leave, instead bringing the whole of Hyrule with you? From the Kokiri Forest to Death Mountain, from the Gerudo Desert to Zora's Domain, you can take all of it with you, the civilized inhabitants of the land seeing you as their newest ruler, pledging their eternal loyalty to you. This land will be bigger than what you may have previously thought, but that just means that there's so much more to explore."
