CP Cost,Name,Jumpdoc,Chapter,Description
200,Magician,Duel Monsters - Duel Terminal I,Source,"Fireballs and firestorms work just fine, but there’s so much more that could be done. Finesse, intricacy, quality, these traits could do so much for us. But you’re not one to let dreams be dreams. Thanks to a mix of extensive training and natural talent, you’ve mastered how to make ephemeral and magical substances and energies flow to your will. No longer do you simply form a stream of flames towards the enemy lines, instead conserving power and maximizing potential damage by forming precise ropes that cut straight through hostiles with focused heat. This is not limited to the tribe’s pyrokinetic arts, either, as you can exert this level of control over other non- solid energies just as well... so long as you have some way of commanding them at all, anyway."
200,Constellar Innate,Duel Monsters - Duel Terminal II,Source,"You are one of the blessed knights of the stars, a higher-ranking Constellar empowered by an entire star cluster. This blessing has granted you a set of holy armor and a personal weapon or implement imbued with a single magical power, such as teleportation or healing. While you would hopefully never deign to do so, should you use your full power for destruction, it would be more apt to describe you as a natural disaster than an individual. You may choose whether you are a survivor from the ancient war against the Steelswarm or a lower-ranking Constellar that was appointed as a replacement."
200,Constellarknight Future,Duel Monsters - Duel Terminal II,Source,"Interesting... this power might well be hidden within the stars, but none of the current Constellars have awakened it yet. Except you. The ability to unite the stars, calling forth a new power from united souls. In this fused state, the individual abilities and raw power of those brought together are amplified and reborn, allowing them to reach heights previously thought impossible. Not just that, but the raw Fusion power of these unions can potentially affect other forces, allowing for sufficiently large fusions to absorb nearby energies or powers. Perhaps even stealing them from other entities outright, but something like that would require a combination as ridiculous as all lower-ranking Constellars uniting to happen. Normally you would only be able to fuse with other Constellars, but you seem inexplicably capable of uniting your star with anyone else."
200,Ki Accumulation,Generic Wuxia,Source,"You are skilled at meditating and gathering your ki. You can use ki (or chi, or qi, or
spirit energy) to strengthen your body and mind, and to use many higher-level martial
arts to their highest potential. All Youxia can use Ki, but only you have the purity of
focus to gather your energies and restore them even during the fury of battle."
300,Cyan Soul Realm,Tales Of Demons and Gods,Source,"People like Ye Ziyun, Ye Han and Ye Mo have this Soul Realm. They are geniuses that can easily reach
Black Gold Rank if they put enough effort into it."
300,The Sixth Sense,Saint Seiya: The Original Series,Source,"Before the senses that tap into the power of Cosmo, there are the five
physical senses and the psychic Sixth Sense. A rare but powerful art, it allows you to
manipulate and read the minds of others, as well as create illusions that can trick the physical
senses of your foes. You start able to read the minds of your foes and create optical illusions
that can fool both ordinary humans and simple-minded foes. You also gain psychokinesis, able
to lift people and objects with your mind alone. As your willpower grows, so does your
manipulation of the mind...at its apex, you may terrify your opponent with a grisly vision of their
death - strong enough to burn their own soul out of existence through sheer terror, should they
be much weaker-willed than you. If not, you may outright take control of their minds, ordering
them to slaughter comrades and their own selves alike, or even teleport through your mental
powers along with creating physical barriers. Woe to those not strong enough to resist you, for
you have the power of the Sixth Sense

Requires ""Cosmo"" to Purchase"
300,The Seventh Sense,Saint Seiya: The Original Series,Source,"Cosmo can be honed and trained further, as well as increased through bursts of emotion or
willpower, letting one temporarily push past their normal limits to match a superior foe close to
their own level, if briefly. However, to truly surpass this level that Bronze Knights start within,
you must unlock your Seventh Sense - the sense that ties you to Cosmo in the first place. Some
awaken this through extensive meditation and training, though it can take years to obtain.
Others develop it spontaneously by disabling or even destroying their own five senses, or even
brute force the threshold with emotion - though these are more exceptions than the rule, and
very unlikely for you to develop in a short time. But once you have become aware of the
Seventh Sense, your sensitivity and harnessing of Cosmo increases drastically, allowing you to
do things such as move much faster than the speed of light, harness punches and attacks
strong enough to shatter stars or moons, and attack billions of times within a single heartbeat.

Requires ""Sixth Sense"" to Purchase"
300,7th Sense,Saint Seiya: Lost Canvas,Source,"Sometimes called ""Miraculosity"", and for good reasons. A sense or an awareness in a more esoteric way (not unlike Buddhist teaching), it is ""true"" cosmoenergy, able to realize ""miracles"", acts unseen in nature. Rare even among Cosmo users, one who attained and mastered it could move to the speed of light, freeze something to absolute zero, or rip space-time open. Your cosmo now equals that of the legendary Gold Saints or the elite of Specters, and it is no exaggeration to say that anyone without his own 7th sense awoken is almost guaranteed to lose against you.
Requires ""Cosmo"" to Purchase"
300,7th Sense,Saint Seiya: Omega,Source,"Awakening to the ultimate Cosmo, a realm few mortals dare to tread, you
transcend the limitations of the six senses bestowed upon humanity. Beyond
touch, smell, sight, taste, instinct, and hearing lies the seventh sense, a divine
gift that grants perception of the very essence of Cosmo itself.
With this newfound mastery, you ascend to heights previously unimaginable.
Those who attain and master the seventh sense possess the ability to transcend
mortal constraints, moving at the speed of light, freezing objects to absolute zero,
or tearing open the fabric of space-time itself. Your Cosmo now rivals that of the
legendary Gold Saints of Athena."
300,Soul Charge,Soul Calibur,Source,"There is an energy within you. This energy within builds up over the course of a battle
with every move you make, with the biggest increases coming from when you counter an
opponent’s attack. Once this energy has been filled up enough, you may call forth a burst of
energy, knocking down anyone close to you in the process.
Once you’ve called forth the energy, you will have an aura of power surrounding you
and for fifteen seconds, you will be better. You will be stronger, faster, more durable and any
energy you have is practically limitless. Use those fifteen seconds wisely for once it times
out, you will have to build up the energy within once more."
300,Fusion,Duel Monsters - Duel Terminal I,Source,"Fusion. The ability for many to become one. It’s a power known in this time and place for, one day, being wielded by the Worms. But that doesn’t mean they’re the only ones allowed to cooperate. When your will and the will of a (or many) partner(s) align, you are capable of becoming one with them. This unison can go on forever so long as your desires remain in sync, with your new self being controlled by you and your partner(s) simultaneously. Rather than simply consolidating your powers into a single body, they will actually be fused, causing similar abilities to build on each other in order to expand their limitations, and merging more unique or disparate powers into something stranger yet greater entirely, in addition to adding your raw power together.

“The power of 3 becomes 1... from a faraway universe, the strongest warrior awakens! Triple Fusion!”"
300,Synchro,Duel Monsters - Duel Terminal I,Source,"Tuning... a process discovered by Ally of Justice researchers, and used to boost the processing power of fighting machines. Unlike them, you’ve finally uncovered its true form. By Tuning yourself with one or more willing partners, you are able to invoke the power of the world of speed and the stars themselves in order to bring a new force into being, combining both of your powers and bodies in order to create the vessel for a new warrior. Space dragons who feast upon stars or were given birth by an exploding quasar, oriental guardians skilled in subjugation, colossal stone fighters, even magical androids and psychic demon robots! The summoned monsters vary wildly, but will follow your shared will in a manner its components would approve of, and will always be noticeably stronger than those who summoned it as a collective. Once their objective is done, or if the wills who Tuned together to bring it forth become discordant, the monster will disperse and everyone involved in its summoning will be back to normal. Since the monster is made up of the bodies and power of everyone who Tuned, its death would likely prove fatal, however.

“Gathering stars will call upon a new force! Become the path its light shines upon! Synchro Summon!”"
300,Revenge Mode,For Honor,Source,"Woah, these people fight a lot less honorably than advertised. Some will try to gang up on you three to one and there isn’t a damn thing you can do about it. Not until you take this, anyways. Yo gain a bar that fills up whenever you block attacks or takedamage. The catch is, the bar will slowly tick away if you do nothing, and raise astronomically quicker when attacked by more than one person. Once the bar is full, you may activate Revenge Mode by posing and knock foes around you down for a short period of time. You also take more damage and your damage output increases as well. Runs out after ten seconds, bringing your abilities back to normal. With this it’s actually smarter to fight you one on one instead of letting you go mini super saiyan."
300,DIVINE UNITY,Worldless,Source,"For an additional undiscounted 300 AP, it’s theoretically possible to Absorb the power of a god through this. However, this requires you to be able to do enough meaningful damage to said god to fill up their Absorption Meter. Depending on how powerful or alien that god is, said meter may be explicitly infinite, making it impossible to fill up (unless you somehow convince them to let you Absorb them).
Requires ""UNITY"" to Purchase"
300,Breast Energy Technique,Manyuu Hikenchou,Source,"Carried in the breasts of all peoples is a spiritual energy
known as Nyuki that binds them all together. Like the great Munamori sages, you can now wield
this power. By manipulating a person’s Nyuki, users of this technique can form deep
connections to the bodies and spirits of others. Often used to break curses and heal afflictions,
these bonds can also be employed in more esoteric ways. Connect to a person’s Nyuki and
you’ll be able to read their spirit, sense their emotional state, and even infer their deeper
thoughts and motivations. Carry another’s Nyuki within you, and you could even extend this
connection across great distances. This technique often feels discomforting or even painful for
novices, however as your mastery grows, so too will the pleasure felt by those whose Nyuki you touch."
400,Azure Soul Realm,Tales Of Demons and Gods,Source,"The second rarest color, people with this Soul Realm are talked about in the great stories of old, and only there, as there is no one in Glory City with this Soul Realm. You have an unmatchable talent, people with lesser talents cannot hope to ever reach your height."
400,Fine Control,Tales Of Demons and Gods,Source,"You have mastered the manipulation of your Soul Force. Never has it been easier to bend it to your will, it is now a part of you, and you can freely shape it as you want, in a spatial sense, provided you know what you are doing. This won’t enable you to shape your power as an omnipotent kind of energy that lets you warp reality, or anything like that, if you already didn’t have this kind of power, the ‘TLDR’ is that it just lets you use it efficiently with infinite precision.
This covers all kinds of metaphysical, supernatural and magical energies."
400,Elemental Qualities,Fog Hill of FIve Elements,Source,"It is intriguing to note that you seem to possess an affinity for one or more elements. While this bears some resemblance to the abilities of the Elemental Ambassadors, it is not quite the same. Your elemental control does not reach their level of power, nor does it grant you access to Divine Manifestation, as you do not follow the specific training and cultivation methods for that element. Nevertheless, it remains a formidable ability, highly useful in battle and other situations.

Examples of this capability include Jiao Yin, who wields both water and lightning, and Shan Zhu, who controls two types of crystals with unique properties: the green fragilisation crystal and the red corrosive crystal. Although his elemental control differs from Jiao Yin’s, it is still remarkably powerful.

Choose your options wisely."
400,Resonance,Nine Sols,Source,"The souls of Solarians, their dreams, and the remnants of stars all become
one within Fusang. The roots sing an anthem of them, of tales gone by and tales yet to
come. You hold an innate connection with the Primordial Roots, able to hear their song, and
to receive impressions from them - to understand if something is wrong with them, or if
they have some intent. Whatever force animates the Roots looks upon you as a favored
child, and will aid you as they can in moments of powerful emotion. In future worlds, this
perk will manifest as a connection to nature, and to similarly-encompassing powers or
metaphysical structures, such as the Force in Star Wars, or Yggdrasil in a world inspired by Norse Myth."
400,The Eternal Sentiment,Live A Live,Source,"Choose an emotion. You can now tap into humanity’s supply
of that emotion to power up your own abilities. The more humans feel your selected emotion,
the stronger you become, and any abilities that rely on your own emotions can now be powered
using all of humanity’s emotions instead. You also cannot be killed by anyone fueled by the
selected emotion - anything that would normally kill you just bounces right off instead."
400,Perfect Qi Control,Scissor Seven,Source,"Your Qi listens to your command like you’ve got another limb, you can control Qi
perfectly, be it to telekinetically lift multiple objects in perfect coordination, make
elaborate maneuvers with difficult Qi techniques or becoming much more
energy-efficient, decreasing costs down to nearly nothing. The benefits are aplenty."
400,Chi Channeling,Jade Empire,Source,"Years of rigorous study have paid off, and you can now control your chi with astounding grace. Using it
to heal, channeling it to strike ghosts and demons and enhance your blows, or striking another’s chi
points with Spirit Thief and stealing theirs: all child’s play to you."
400,Increased Zeon Recovery,Anima Beyond Fantasy,Source,"Magic has a single great weakness: The fact that your
soul can only channel the flow for so long, the Zeon quickly running out. Further, it takes time to
recover, days to weeks to even months! Fortunately, you recover quickly, recovering four times
faster than you by all means should."
400,Improved Innate Magic,Anima Beyond Fantasy,Source,"Magic has costs, and even the smallest spells can
quickly drain your Zeon, leaving you empty. No more. Spells of sufficiently low cost can be cast
without touching your reserves, the Flow of Souls washing through your body, and shaping itself
with the barest hint of your will. Though any mage eventually learns to cast the lesser spells
without calling upon their reserves, the spells you can cast without cost are twice the strength of theirs."
400,Xyz of the Soul,Duel Monsters - Duel Terminal II,Source,"Xyz... a power that has yet to awaken, and thanks to the might of a corrupted Vylon, would prove worthless for saving the world. But you are not one to let such potential go to waste, are you? Through a process another Duel World might call “creating the Overlay Network”, you can bridge consenting souls together using a portal to outer space as a medium, uniting them into an Xyz. An Xyz is even stronger than its parts put together, and usually has abilities related to what their original forms could do, but can not last forever. The original shapes of those used to create an Xyz become what is known as an Overlay Unit, which is consumed by the Xyz to power its greatest abilities. Once all are gone, the Xyz harmlessly breaks apart into its constituent beings."
400,Advance Zone,Duel Monsters - Duel Terminal II,Source,"Light and darkness, good and evil. Such powers are not meant to mingle, the very conceptcof such a paradox. Yet, if one were to somehow contain such energies and survive... thecpower one could obtain would far outstrip what should be possible. It is fortunate, then, that your being functions as an exceptional vessel. When intaking power antithetical to your existence, such as absorbing holy energy as a demonic creature, the power catalyzes a new evolution for your being and abilities. How much strength you actually gain from this act depends on the amount of power absorbed, but it certainly beats the agonizing death most of your brethren would experience."
400,Polymerization,Duel Monsters - The Heroes,Source,"When two become one, you’ll attain the greatest power... at least, that’s what all the cool kids seem to say about this. Like many of the Heroes in this world, you have the ability to literally become one with a willing partner. This will pool the overall power and themes of the participants together to create an entirely new being that is different from both of its parts, but notably greater than them combined. You and your partner remain inside your combined form as what amounts to its instincts and unconscious mind but still able to undo the fusion whenever either of you desire it, so having your fusion go against your wishes is only an issue if you force someone into this. If your fusion dies, the transformation is undone and the wounds its taken will be split evenly between its parts. As a reminder, while your fusion won’t inherit the ability to fuse held by whoever initiated the combination, it will have such an ability if the other component of itself does."
400,Dark Fusion,Duel Monsters - The Heroes,Source,"When two become one, you’ll attain the greatest power... that is exactly what will happen. Just not how most expect it. If you acquire their consent, you may fuse two other persons into one being. This combines the overall powers and themes of the affected into one existence that is notably powerful compared to its parts combined, but unlike the fusion employed by many Heroes in this world, the resulting being is universally darker and edgier. The components of the fusion remain inside it as what amounts to its unconscious mind, and are normally able to undo the fusion whenever they’d wish. However, you may place your dark powers inside the heart of the fused version of the two, which will limit the duration of the fusion to a few hours. Doing so will make it impossible for its constituents to undo the unison early, and will allow you to give the fusion a single directive of your choosing that fundamentally defines their mental wellbeing, making it impossible for it to disobey that order, no matter what its parts may think of your dark designs. Should the fusion die, the combination is automatically undone and the constituent parts of the being will appear with the harm done to it split between themselves."
400,Spirit-Hound,Elric Saga,Source,"Besides their tendency for malevolence, another reason why demons are so
infamous among mortals it that they are much more likely to harm not only the body, but the soul
as well. Even if you are not one such devil lurking in the void between worlds, your abilities would
rightly make mortals fear you just as much as they do demons, a true bloodhound thirsting for
souls. Beyond your regular sight, you have an innate sense for the souls of anything nearby, like
beacons in the darkness shining through any obstacles that your eyes would otherwise not be able
to peer through. If you had even a single hair or scrap of clothing belonging to someone you could
track them down by the scent of their soul regardless of their current location, finding them
eventually as long as they are still alive. If you do find your prey, only a touch is required to begin
your feeding, drawing their lifeforce from them in a process that causes immense agony and will
result in death when all of their soul has been drained from them, though if they manage to break
your grip on their body they can recover from the damage to their spirit with time. Feasting on so
many souls might have also affected your own soul’s constitution in some way, since you are less
quickly affected by others who would use your own methods against you, though this is far from an immunity."
400,Power Will Do As It Pleases,Triune Scriptures,Source,"Elemental cultivation is by no means a simplistic or uninspired manner of cultivation, one can perform
great miracles and do complex tasks with its aid, but it is ultimately a style that attempts to invoke the
sheer weight of a soul that contains mountains and lakes inside of itself to change the world. It is also
the most common style to dual cultivate with - if partially abandoning it in favor of Demonic cultivation
can be considered dual cultivation. You will find, perhaps in preparation for such a thing, that you have
an unusual talent for utilizing your techniques and abilities using what can best be described as ill fitting
sources of power, as well as modifying them to accept being used as part of another style of cultivation
entirely. It might be that you have grown tired of the illusions born of your Mind cultivation shattering,
and so routed a mountain or two of earth essence into them to make them more solid. Or it could be
that you seek to use your old style of combat, the elemental fury that you can call forth, despite having
become a Demonic cultivator. Both come to you naturally."
500,Indigo Soul Realm,Tales Of Demons and Gods,Source,A color so rare that it is only depicted in myths. They were once hailed as supreme geniuses that shaped entire eras. You have a talent much beyond what the other options could ever hope to offer
600,The Lotus Crown,Grant Morrison's 18 Days,Source,"First, there is Brahma, the Self-Aware Immensity, from whose thought-substance are created all
known and unknown things.

Brahma, Vishnu, and Shiva, Three Gods, three beings beyond all comprehension of size, time,
and space. And you are the incarnate form of one of them. You have just a small fragment of
this measureless being within you, yet it is enough, for is not a fragment of infinity still
infinity?

You find yourself connected on a deeper, metaphysical level to any universe you come to inhabit.
Any energies you have access to, you can now draw from the universe itself, being an endless
font of raw power of any and all kinds. For all intents and purposes, it’s as if your actions don’t
consume any energy at all. They’re being executed by the universe itself, your Will made
manifest.

This especially reflects in the form of any ""Domains and Rights"" you have, in that your knowledge
over them now expands into real, proper Authority over those elements. In case of a Concept
that is physical in some way or form, such as Fire, Water, or even Life or Death, you have
complete and absolute control over it in every idea and meaning of it. Fire would be not just the
burning flame, but also the heated emotions, the idea of a burning gaze, and all other
metaphysical implications.

For more ephemeral concepts like ‘Love’ or ‘War’, your control is far more indirect, but no less
absolute, You can make anyone fall in Love with anyone, start or end wars on command, and in
general do anything you would expect a God of the Concept to be able to do."
600,Virgo's Soul,Saint Seiya: Lost Canvas,Source,"Your peers may rend space open or freeze acres of land in a blink, but your strength isn’t in show offs or your Cosmo’s intensity. Rather, you have an impeccable sense, understanding and control over every spark of it, one so subtle and graceful, your techniques and moves are pieces of art compared to others. While this naturally makes every illusions, mind effects, or likewise subtle uses much more potent, it also makes you very cost-efficient. Affects cosmo, but also any esoteric energy you may possess, the like of magic, chakra, and so on.

Capston Boosted: Enlightement: Your grasp over Cosmo is so great that manipulating that of others, even in their attack, is not that hard for you, a wave of your hand enough to dissipate a hellish torrent of flame thrown at you. You also partly translate your efficiency and control in your physical skills as well, flowing with grace and precision while never wasting a movement."
600,9th Sense/Omega,Saint Seiya: Omega,Source,"With the attainment of the elusive 9th sense, known as Godhood, or reach
Omega alone which was once considered impossible. Regardless you ascend to
the pinnacle of existence. This transcendent state grants you a form of soft
immortality, rendering you ageless and beyond the grasp of time's inexorable
march.
But beyond mere longevity, the 9th sense bestows upon you a profound
connection to a chosen theme or domain, whether it be the fiery infernos of
creation, the twinkling mysteries of the stars, or the ethereal realm of dreams.
Within this domain, your Cosmo becomes a vessel of boundless power,
magnifying your abilities to unimaginable heights.
The 9th sense also allows you to transcend the limitations of physics and reality
itself. With effortless ease, you can bend the fabric of existence to your will,
bringing forth literal impossibilities into the realm of reality. At your current level
you are considered to be a minor god of your faction. Similar to that of Hypnos
and Thanatos in the past Hades army.

Requires ""8th Sense"" to Purchase"
600,[扶桑] The Root of All Things,Nine Sols,Source,"From time immemorial, the Primordial Roots of Fusang
have nurtured Solarians across the ages. They connected all lands, providing food and
shelter, and civilizations were sure to flourish wherever the roots spread. In you, this
symbiosis has perhaps reached its apex, as the Fusang Roots entwine your very heart.
So long as your heart is not utterly destroyed, and the Roots survive somewhere, upon death
you will be reborn from the Roots, your body reconstituted, while your corpse rapidly
decays. The amount of time this takes will vary depending upon the degree of your injuries.
As a side effect of this symbiosis, your aging process is slowed significantly, and you do not
age at all while being reborn.

Just as you may be reborn from the Roots, so they may be reborn from you. Through
meditation, you can cause Fusang to grow from within you, taking root in new soil. This perk
gives you no special control of how they grow from this point on, however.

Fusang, the Sol’s Spear. In its sorrow and compassion, it descends, granting us life’s vigor."
600,Powerful Soul,Anima Beyond Fantasy,Source,"Your soul is a strong one, burning brightly into the darkness of
ignorance, burning through the blinders that were placed upon you. It is inhumanly great,
beyond the grasp of most mortals. Furthermore, it will slowly grow back to full strength, never
permanently leaving a state of perfection, no matter how you maim it. Finally, if you so wish,
where your Ki would ultimately be limited by your body and will, now all that matters is the
burning strength of your soul."
600,Nemesis of Others,Anima Beyond Fantasy,Source,"Your abilities with nemesis are perfected.
No matter which you call upon, they do not interfere with your own skills. You may deny magic
to your opponents as you cast spells with disdainful abandon, or deny ki to them as you channel
it through your body, or shatter their psionic matrixes as your will flows through your own.
Requires ""Nemesis User"" to Purchase"
600,Endless Mind,Anima Beyond Fantasy,Source,"You have found that your mind is near endless, containing reserves upon reserves of psychic energy upon
which you can call. It may take hours to recharge it, but you are nearly guaranteed not to run out of
psychic energy with which to enhance your powers during all but the most brutal and drawn out fights."
600,Divine Wind of Mist Valley,Duel Monsters - Duel Terminal I,Source,"Interesting... there is more to the Mist Valley than simple weather, I hope you understand. The mist which confounds outsiders so is produced by a great Wurm, and the beautiful lights which appear after great slaughters- actually, I don’t think I should burden you with that knowledge just yet. What you need to know is that the Mist Valley has accepted you, and much like you may leave your mark upon this world forever, the Valley may change you too should you desire it. There is a deep well of life, of magic, of divinity, within you now. It is a power aspected to the wind and life, and though you can use it to fuel all other abilities just as well, it only truly shines when its purpose aligns with its nature. Had you the means to channel it so, this power would be enough to utterly destroy a mesa... but that is its exact opposite. Were you to weave some grand spell of rejuvenation, this power would be enough to save an entire city’s populace. Conjuring dozens of cyclones, or performing lesser acts of healing, would be easy. This power will run dry eventually, it is true, but it would only take a few weeks of quiet living for it to return in full... and as your power rises, or should it already be abnormally great from outside sources, this divine energy shall become greater and greater as well. Perhaps the Mist Valley lacks a forgotten and slumbering Ancient Deity of their own... but you can certainly fill in."
600,Omega,Duel Monsters - Duel Terminal II,Source,"Your masters were the beginning, but you are the end. You are not some above average Vylon, but a true weapon of mass destruction. There is no limit to how much you can charge your energies, even if they would normally not even be capable of being stored in such a way. What type of energy? All of it. The holy powers contained within your chassis can rise and rise without limit or end, and even the kinetic energy your movement would involve can be slowly built up over time. Were you a magician, you could charge your magical energy endlessly, were you some type of supernatural martial artist, you could build up Ki infinitely, and so on. As a weapon, you are also capable of releasing any energy contained within your being as an attack, whether in the form of a thin laser, army erasing beam, protective sphere, or something even stranger."
600,Hate,Duel Monsters - Duel Terminal II,Source,"There can be no love in a Steelswarm’s world, no affection or peace. Only rage, to murder your predator. Only greed, to claim your prey. Only hate, to become ultimate, the dream you will achieve. There is no limit to how much you can hate, nor can others quell this all-consuming loathing, for you have mastered it. Only your will alone can lower this current of absolute abhorrence, but one must then ask why you would ever do so. For the hate you feel is power incarnate. The more you despise, the greater your power rises, without any limit. The hatred to kill a family person by person for passion alone is enough to make a normal man equal to a lower-grade Steelswarm. The hatred to murder a nation is enough to physically manifest, becoming waves of force that scour away the worthless scum you behold. The hatred to destroy the world itself? To call you a God of Evil would be no error, far as any able to survive seeing you might care."
600,667th Saint,Duel Monsters - The Abyss,Source,"In the Dogmatika Faith, there are often Saints. Those with pure and strong souls, virtuous and diligent hearts, and possess great power. Over the centuries, hundreds have risen and eventually perished. Fleurdelis and Ecclesia made number 665 and 666, respectively. This was as many as Maximus needed to complete his schemes, but if he were still interested in naming more, you would surely be a candidate.

This Perk has many effects. Firstly, you are unable to lose your sense of self, or be overwhelmed to the point of losing control of yourself. Even if you were thrown into a body with hundreds, or even thousands, of other minds and souls with equal strength to yours, that all had the same authority to control said body, you would be able to effortlessly take and keep control without any issues, even if every other mind and soul united to rally against you.

Secondly, you have gained a great affinity for the Holy. At any point, you can do one of the following: A) Make any attack or ability of yours gain a Holy Attribute in addition to its existing Attributes. B) Make any attack or ability of yours replace its existing Attributes with that of being Holy. or C) Have any Holy attack or ability of yours be twice as effective and fast to use and cost half of its resources to use.

Thirdly, you have gained the ability to manipulate the souls of the Deceased that remain in this world. The most obvious use of this would be to help the deceased pass on, and stop lingering in this world. However, with what has been established about Dogmatika and Despia, that isn't what they would use it for. Instead, you can also materialize the souls of the deceased into little eye-like physical existences that you can manipulate as you wish. A single one is rather weak, able to manipulate a corpse into shambling around but little else. With enough souls and a guiding will though, you can mold the souls of the dead into monsters that can ravage the non-believers. The weakness of this, of course, is if you do lose focus on them, or your connection to them, the entire structure will crumble as they squabble. No one is making you use this though. If you just want to help them all pass on, you are perfectly within your rights to do so.

And lastly, this Perk grants you the perception of Purity. No matter how dark or clouded your Soul may actually be, anything that would try and judge you, your character, or anything else will find you free of sin. Anything that you do that would contradict this will be overlooked or justified, even if it makes no logical sense. You will be considered as pure as a Saint. Well, if you want. You can turn this off, have it apply to only certain people, or make it only apply to mystical attempts at discerning your character are subject to this. Still, even if you do have this on at full power, people still can and will disagree with you. Those with resolve will fight even a Pure Saint if they believe they are misguided in their path or reasoning."
600,Neo-Spacian Force,Duel Monsters - The Heroes,Source,"There are many terrible powers in the cosmos which seek to twist all worlds to their will, and you will not stand idly as this happens. The power of Neo Space inside you has reached the apex, and now guards you from all corruption and mental enslavement as a cosmic aegis and boundless fount of goodness. Not only that, but you may grant this energy to others, shielding allies in your presence from these same effects. But if you only defend, then the evil will never end. Thus, you may focus this energy into your attacks, causing them to seek out those evils. This can be used to both undo powers of corruption and mind control by directly attacking them, and disable those same types of abilities when they are wielded by your foes. For the good of the universe and all those who are of justice, you will not cower in the face of all the evils in the cosmos."
600,Contact Fusion,Duel Monsters - The Heroes,Source,"Like Neos himself, you are able to perform Contact Fusion with others in order to unleash your hidden power! Unlike most fusion in this world, this does not literally combine the participants. Rather, whoever you merge with remains as a voice in your head, while all of their power is pooled together in order to both temporarily awaken your potential and create new sets of power and equipment based on whoever you performed Contact Fusion with. These fusions only last a few minutes outside of Neo-Space, but increase your combined power by ridiculous amounts, making the little time they are usable for worth it. Note that you can not fuse with someone who does not want to do so, and whoever you Contacted with can end this combination earlier than needed if they take issue to your actions. Should you die while fused, whoever combined with you will simply reappear near you unharmed."
600,Contact Out,Duel Monsters - The Heroes,Source,"It seems you’ve gained a rather peculiar ability. Where Neos can perform Contact Fusion with Neo-Spacians in order to unleash his true potential, you are able to Contact Fuse with others. Doing so allows you to temporarily awaken their potential and give them new sets of equipment and power based on your abilities, while remaining as a voice in their head in order to advise them. This can only last for a few minutes outside of Neo-Space, but the increase to their combined power is utterly massive, making it worth the trouble despite the short duration. Note that you can not fuse with someone who does not want to do so, though you are able to end these combinations early if you find such necessary. Should whoever you Contacted with die, you will simply reappear near them unharmed."
600,Greater Than Thou,Elric Saga,Source,"No longer are you some servitor living in the shadow of another, greater otherworldly being. You have ascended, or perhaps it was always in your nature to be a king among elementals or lord over the creatures of Law or Chaos. Either way, you have claimed a title of that sort and all of the power that comes with it, able to contest with elemental kings and minor or diminished manifestations of lords of Chaos alike. The exact nature of the power depends on the type of magical being you are and your personal preference, but one guarantee is that you will always have an inherent authority over your weaker fellows who have no titles of their own, the spirits of the air or wind or the lower demons of Hell being yours to command. Your power is likely closely related to your nature, though, such as a king of all fire or a particularly wrathful Chaos Lord manifesting as a body of living flame that scorches everything in its path or a lord of the seas taking the shape of an aquatic giant surrounded by raging tides wherever they go. A mighty phantom of the Netherworld could sap entire groups of men of their will and life at once, and a primordial lord of animals need only think to spawn an entire army of beastly offspring to fight their enemies to the death. Regardless of your choice, there is no doubt that entire armies of mortals would break in the face of your might."
600,UNITY,Worldless,Source,"You are the miracle that Those From Above created this entire universe to see.
Even if you are a being of Light, you no longer need to worry about being Absorbed
yourself, and now every other being has an Absorption Meter, regardless of Nature.
When you absorb a being, instead of your polarities reversing, you absorb their entire
being. In most cases this grants you a “node” that you can use to enhance and unlock
new techniques. Absorbing certain beings will even permanently enhance your
condition or bestow you with entirely new abilities, like a new mobility technique,
weapon, magic element, etc. You can even absorb corpses for these benefits.
Incompatible with ""Duality"""
600,Chi Warrior,Kung Fu Panda,Source,"The Way of the Dragon Warrior is the history of Kung Fu, both its past and its future. In the past, the Panda's were the first race to harness the power of Chi, being used for healing and defend themselves. Although the true Chi Warrior can become a receipt of the Chi around him, freely given these chi can make him truly the dragon warrior, if only for a short time. With this ability you have full access to your inner Chi and can be utilized to heal others, enhance your attributes and attack with it. Unlike other uses of Chi you can also mold Chi into objects or armor, taking on forms such as Dragons and other figures. Your greatest strength however is that others can freely give you their chi, not enough to harm themselves but together enough for extraordinary feats of power. With this power you could also return from the spirit world"
600,The Principle Of Opposition,Triune Scriptures,Source,"The creation of Demons is a very fundamental flaw in the nature of the world. For everything that
exists, there is something that does not exist - and that something is usually a Primordial Demon that
wants to commit cosmic suicide and erase its counterpart from existence. You are not quite that
powerful, but you do have a specific trait that all Primordials have. Hatred. A singular thing, item,
place, or concept, that you loathe with all your existence. Perhaps you exist for the destruction of
music, of deserts, of a particular incarnation of Link. Fair warning, Existence is not a valid choice for
this. It is, after all, already taken. Still, once your choice is made you will gain a set of powers and
abilities that will enhance your ability to oppose your chosen hatred, from sound nullifying and
discordance-inducing powers should you oppose music, to grand terraforming through destruction
should you oppose deserts. The more of your foe you destroy, the more powerful you will become, until
eventually you have enough raw might to erase your hated concept from entire worlds."
