0,,Cost,Name,Jumpchain,Description,PERKS,COVER,107
,,200,Spirit Chains,Fate/Grand Master,"The possibility of servants rebelling or betraying their masters was never far from the minds of Chaldea’s founders, so a great deal of effort was put into researching and developing spells and devices capable of restraining them. This mystic code is one attempt at a solution to such concerns: inspired by Gilgamesh’s beloved Enkidu (though he’d be profoundly insulted by that comparison), these magical chains are easily conjured with basic projection magecraft but unlike most objects they can be magically-reinforced with no upper limits aside from the caster’s mana supply. The chains also bind their prisoners in spirit, preventing them from making use of any magical abilities or noble phantasms they have, though hostile servants will need to be taken by surprise or subdued before their abilities can be completely sealed off.",,,
,,200,Wandenreich Medallion,Vasto of White,"The Wandenreich Medallion is a powerful device used by Quincy to steal the Bankai of Soul Reapers. With its innate ability to accurately identify the intensity of spiritual energy, the Medallion can differentiate between high and low points, making it possible to steal Bankai from their owners.

Once the Medallion is activated through a complete incantation, a circle of energy bearing the insignia of a Quincy cross appears, quickly expanding into a giant cross of light that rains down from the seal. This instantly seals away the powers of the Bankai user, leading Soul Reapers to misunderstand that their Bankai can only be stolen.

In addition to its Bankai-stealing ability, the Wandenreich Medallion can also allow the user to use the stolen Bankai to its full potential, without any of the usual training requirements. This can catch Soul Reapers off-guard and lead to overwhelming defeat, as seen in the case of Byakuya Kuchiki. Use this item wisely, as its power can give you a significant advantage in battle.",,,
,,200,Sacred Gear Extractor ,The Holy Man of The Church Creek,"The Sacred Gear Extractor is a remarkable device crafted with the sole purpose of separating Sacred Gears from their wielders, without the need to return them to God's System. This intricate apparatus takes the form of a large, specially-designed platform that accommodates the individual whose Sacred Gear is to be extracted. Once placed within, the device initiates the extraction process, safely detaching the Sacred Gear from its host.

You may determine whether this process is non-lethal or potentially fatal for the individual. Such control over the extraction ensures flexibility and precision in handling Sacred Gears. Post-jump, this remarkable device expands its capabilities to encompass other soul-bound artifacts and similar items, allowing you to separate them from their bond with individuals or objects.",,,
,,200,Summoning Platform,Fate/Grand Order: SkyrimAnon,"The Last Master of Chaldea has needed to perform on-the-field summoning more than once to reinforce their battle capability, and this round platform you now have possession of replicates their use of a particular Noble Phantasm for said summoning. Being about as large as a table and round in shape, this platform serves as a potent anchor for summoning rituals, and also comes with Chaldea's peculiar summoning system attached for ease of use. You need merely set up the platform attached to a leyline or other potent source of magical energy and you get 10 free summonings per day. Should you want to keep rolling the gach- I mean, try your luck with Chaldea's unpredictable summoning protocols any further, you will need one Saint Quartz per additional summon using this platform. And even if you don't get the Servant you want, please don't take your anger out on the platform, it's sturdy but not indestructible.",,,
,,300,Church Organ,Fate/Hollow Ataraxia,"An old church organ is now in your possession. Conveniently, it can be shrunk to pocket size for easy transport. When you are playing the organ, it can harm any sort of evil or demonic presence slowly over time, generally irritating them and revealing their presence as they try to escape it before it causes serious harm.",,,
,,300,Book of Many Spells,Generic Nasuverse,"This is a rather odd book. Every day, a different spell will appear in it. The entire history of the spell, including how it was made and how it has been used, will be recorded, along with how to perform it. The book is usually rather thin, since there’s only ever a single spell recorded inside it.

These spells range from simple spells for creating lights to spells capable of ending the world. Though they’re usually somewhere in between.

You’re capable of learning all spells that appear in the pages of this book, regardless of whether or not they’re something you could normally learn. But if you don’t finish learning it by the time it’s replaced with a different spell, you’ll no longer be able to learn it (that is, if it was a spell you weren’t supposed to have been able to learn or cast).",,,
,,300,Magic Crest,Fate/Hollow Ataraxia,"Formed as a tattoo somewhere on the body (which can be hidden at will post-Jump), this is a series of Magic Circuits that were given a more stable form in order to act as an archive of thaumaturgical capability that's passed down through one's family, who add some circuits each time, in order to give the next generation an advantage. This crest has 100 of them.

Despite being passed down from your ancestors, these circuits share the same level of quality as your natural in-born ones. The advantage of having circuits in the form of a Magic Crest is that each circuit is permanently specialized to perform any spell without any somatic or verbal components, and at a much lower cost than normal, while still producing and storing Prana for general use. Choose a field of Magecraft that your family specialized in, your Magic Circuits in this crest are now specialized and acts as an archive to generations of high-quality magical research into this field. This item can be combined with any other Magic Crest you may have at no additional cost.",,,
,,300,Kilnec Sarkeny,Grand Foreigner,Elizabeth Bathory is an amusing Servant who embodies multiple separate concepts. Kilenc Sarkany is the Noble Phantasm that reflects her more innocent side. The young girl who merely loved singing and wished to put on a grand performance. Kilenc Sarkany takes the form of a distorted castle with incredibly large speakers. These speakers are capable of amplifying any sound by an immense degree. This level of noise was capable of killing other Servants such as Carmilla and the Phantom of the Opera,,,
,,300,Reincarnation Pieces,The Holy Man of The Church Creek ,"There are a number of ways that various species have come up with to get around their low fertility rates. One of the most fascinating and hated methods is the Evil Pieces created by the Devils. These are a set of chess pieces that the “King” can use to reincarnate others. This process transforms them into hybrids of devils and whatever species they belong to originally. Later on other factions such as Heaven would come up with their own variations of the Evil Pieces.

This is a unique set of pieces designed for you. Like the other versions these can transform beings into a hybrid of whichever species you belong to. The unique thing is that these pieces are effective on anyone including deities, and other beings who should be impossible to turn. This set contains fifteen pieces, the only restriction of the pieces is that you can’t reincarnate somehow vastly more powerful than you unless they do so willingly. Lastly, this set comes with detailed blueprints covering all available details behind the pieces and how to make more of them.",,,
,,300,The Servants Pieces ,The Holy Man of The Church Creek,"The Servant Pieces represent a unique set of modified Evil Pieces, specifically tailored for Shirou. In contrast to the standard Evil Pieces, these seven specially crafted pieces are based on the revered Servant Classes. While the Servant Pieces offer a smaller quantity compared to their Evil Pieces counterparts, they more than compensate with remarkable individual strength and potential. Among the set, you will find the Saber, Berserker, Archer, Rider, Assassin, Caster, and Lancer pieces. Each piece embodies the essence and prowess of its corresponding Servant Class. Each of your new Demi-Servants will gain access to the combined abilities of every member of their class. Lastly, these pieces can be used to convert anyone into your Servants regardless of race or power. They are even effective on deceased and conceptual beings like Servants",,,
,,300,The King Piece,The Holy Man of The Church Creek,"The King Piece stands as the pinnacle of the Evil Pieces, an artifact of unparalleled potential that was sealed away due to its overwhelming power. Even for a reincarnated Devil, receiving the King Piece would instantly propel them to the esteemed ranks of the Ultimate Class. With the King Piece at your disposal, you hold the key to ascend to new heights of demonic power. If you need an actual number then the boost is a comprehensive boost of approximately 100 times over. You have the choice to either directly absorb the King Piece, assimilating its extraordinary power within yourself, or to keep it separate, harnessing its immense potential as a trump card in your battles.",,,
,,300,The Diary of Lady Jumper,Fate/Legends: The Land of the Rising SUn,"If you never practice your writing, how will you ever get better? This leather-bound diary is a special book, provided you give it what it needs. By dutifully writing the events of your life in the diary each day, you empower it over time. If you happen to reach a point where you wish that something occurred differently, where you wanted to rewrite the past, maybe now you can make that a bit more literal.

It’s true that writing an event that has happened in this diary and then rewriting it can change the past, provided you can give the diary the energy it greedily consumes to make these changes. Small alterations are relatively simple, such as healing your recent wounds by rewriting the past so that you were not hurt in the first place. Large changes that affect others are likely to consume considerable amounts of energy. Harming others, altering relationships or changing the entire outcome of a battle could potentially leave even a great Youkai exhausted. Messing with the past too harshly may also attract unwanted attention. But if you write in your diary each day, you can at least ease your own path in life, getting rid of the little mistakes you wish you didn’t make the day before.",,,
,,400,Working Unlimited Guns,Fate/Grand Order,"A complete gun smithing set made out of a strange black metal. There are tools here for every process of creation, from shaping the metal to the fine details of the gun itself. What makes this set special is several qualities. Firstly, any gun it creates will count as a magical creation and the user is able to copy spells or magic that they can use into the gun to transfer those effects onto the weapon itself, though how they manifest may change depending on the gun type. The forge is also able to easily convert other weapons or objects into guns of similar size, retaining all their normal properties but in firearm form.",,,
,,400,Keys of Providence,Tsukihime,"The Holy Church is going to be wondering how you’re nicking all of their favorite toys, you know. An artifact that can turn monsters that were once human back into humans, as if the corruption of their body never happened. Curiously, unlike the originals, neither of you need to be Catholic in order to use these to their full potential. Wipe away the curse of the undead and the damned with your own two hands.",,,
,,400,Golden Wheel,Fate/Grand Order,"A shining golden steering wheel, like straight off of an old pirate ship. It seems to be able to easily fit in place of any steering wheel or piloting mechanism on any other vehicle. The wheel can then be used to pilot the vehicle it is properly attached to, granting you immense skill in driving it and the ability to somehow control the entire vehicle just by using the steering wheel and calling out commands. The wheel being attached will also give the vessel a grand blessing of luck, ensuring it easily survives any sort of weather conditions and is far more difficult to sink or damage with active attacks against it.",,,
,,400,Spare Key,Kara no Kyokai,"Home is where it needs to be, a place where the door is always open and the warmth from inside beckons you in. These bright places in the dark world are not uncommon for you to find, not when you hold this special spare key on your person. It seems to have no true original lock it belongs to but when you have need of a place to rest, somewhere to recover and calm down and feel safe and happy for a time, it’ll tug towards a safe location. Never too far from where you are but always away from any immediate dangers before you find it. It’ll be a small but comfortable home, usually a tiny apartment or little shack. There’s power, water, light and enough food to have a few nice meals to yourself and a friend. Once you’re inside, it’ll remain safe for a little while, giving you at least a day and night to recover before it loses that feeling of safety and you know that you need to move on, lest your hunters find you. The key can never be truly lost, though it may take a few hours to reappear.",,,
,,400,Legacy of the Magi,Witch on the Holy Night,"Engraved somewhere on your body is the greatest treasure of a magus family-one equal in value to that of the Aozaki family’s: A Magic Crest. A collection of magic circuits extracted by a magus over the years and amassed into a collection of biomass that contains both substantial magical energy, knowledge and spells that have been made stable and easy to activate by the Crest’s complex structure. Not only does all this power considerably augment your normal magecraft, but it also grants you a powerful form of regeneration as part of the Crest’s purpose is to keep it’s host alive so the knowledge can survive to future regenerations. Even if your spine was broken, as long as your body remains alive the crests will piece it back together and as long as your body is still physically there more extensive mutilation can be treated with the help of heavy surgery. Your very body is now, in a small way, a vessel preserving Mystery.",,,
,,400,Commanding Chair,Fate/Apocrypha,"This could technically be considered a throne, but it’s also a sofa, deck-chair and a variety of other sitting-enabling furniture, capable of shifting between extremes of being an ornate yet uncomfortable throne or a plain but immensely comfortable beanbag chair that might honestly be preferred so much that a proud queen wouldn’t mind looking undignified sinking into its pillowy embrace face-first. As a further note, no matter how the Commanding Chair feels, users will feel as wide awake of sleepily comfortable as they want, with no impact on bowel control, and no matter their condition they can leave it whenever they want. Whatever form it takes, if placed within a vehicle or some structure with systems that can be controlled that is owned by you or an ally, it can be used to directly control all the systems within it effortlessly. Maybe it’s a combination of enhancing multi-tasking, maybe it’s mental commands, maybe it’s got holographic runic systems that float in the air. Whatever it is, if you’re going to rule, now you can do so in perfect comfort.",,,
,,400,Sealed Demon,Kara no Kyokai,"A sealed case in your possesion, such as a suitcase or video projector. Within is a potent combat familiar, the sort of creature that can tear through a whole gangs of thugs in seconds or pose a threat to a fairly powerful Magus, especially if it has the advantage of surprise. The primary examples to use, in case you want to design a custom creature, is the sealed demons that Touko uses for combat due to her own degrading magic power. You might have a copy of her familiars, a freaky battle homunculus, a stitched together frankenstein beast or something less physical, like a bound fairy or a simulacrum made of living lightning. Whatever your familiar is, it’s oddly affectionate with you and acts like a loyal dog, puppy like towards your friends and vicious to enemies. If it gets hurt, just seal the case again and you’ll find it good as new in a few days time.",,,
,,400,Twilight Healing,The Holy Man of The Church Creek,"Twilight Healing is a Sacred Gear renowned for its exceptional healing abilities. This Sacred Gear is capable of restoring and mending grave wounds. By channeling Twilight Healing's energy, you can accelerate the natural healing processes of yourself and others, mending broken bones, closing wounds, and revitalizing damaged tissues with remarkable speed. The gear unfortunately does have some limits. It is unable to restore amputated limbs, reduce exhaustion, or cure sickness. Thankfully it can be used to heal any being regardless of species or alignment. So while this may not be a unique Sacred Gear it is still considered to be one of the most valuable.",,,
,,400,On Borrowed Wings,Witch on the Holy Night,"What look like golden leaves bent in the shape of wings sprouting just behind your back are something far more menacing: Magic Crests taken from mages who once challenged you and failed. The magical energy they provide you exceeds that of the typical family heir twice over, however due to being foreign from you they’re not as efficient when it comes to actually casting their spells than a Magic Crest fully bonded to your body. Furthermore, while they don’t strain you to use unlike a bonded Magic Crest, if defending from powerful attacks they can be forced into a state of temporary shutdown. Alternatively you may have a more efficient but also less personally beneficial solution: An automaton of some kind, full of artificially replicated magic crests with roughly the same amount of magical energy.

If you do take the default option though, don’t worry about the defeated mages. They spend all their time partying and generally enjoying themselves in a little café/carnival/astonishingly pleasant facility that seems to have a means of replenishing itself. All things considered they’re surprisingly upbeat about life despite having their life’s work literally ripped out of them. If you like, a garish door in your Warehouse can take you to the ex-mages who’re inclined to treat you as an old friend. They may no longer be able to use magecraft, but they can probably still be consulted on their methods if you can get them to focus for more than a minute at a time.",,,
,,400,Flag of Sincerity,Fate/Legends: The Land of The Rising Sun,"A flag decorated with a symbol of your organisation, faith or just something that shows the bond between you and your allies. When raised up, it allows you to summon phantasmal copies of those who consider themselves your allies to fight alongside you. Their combat ability is significantly reduced and they will often lack their most potent abilities or items but up to two hundred comrades can appear through the flag at a time, remaining for several hours before vanishing. Only those who would be willing to fight and die alongside you in your current goal will answer. A strange effect of the flag is that those summoned are influenced by your perceptions of them, altering the personalities and appearances of the illusory warriors to fit your perspective. Someone you find intimidating could grow taller and broader than they are in real life, while a warrior you see as brutal might now carry a serrated sword.",,,
,,400,Book of Horrors,Fate/Legends: Strange New World,"A leather bound book, depicting several screaming faces on each cover side. The book has no name and no author written into it but what is within could horrify even the bravest of souls. A ritual book of the old and outer gods, the sort of cruel artefact intended to bring about the time when the stars align and much more. Within the tome are the instructions and chants required for the summoning and binding of a great many eldritch monsters, from cruel spirits to bug-like alien beings to shapes- shifting monsters from the icy poles. Even the Great Ones and beings higher than them can potentially be summoned and controlled, to some variable degree, with the right ritual. But many of these things have costs, perhaps too great to bear. For those unwilling to do such things, the book also contains a very extensive library of spells, allowing for moderate ability in over a dozen broad fields of magic when studied extensively, though many of these spells will twist or warp reality to be cast. There are even more powerful magics within the book but they will require an experienced and skillful magus to unlock, as the book has protections to prevent you unwittingly harming your own mind too easily. As a final measure of defense for it’s master, the book is also able to act as a small- scale weapon, suddenly extruding many very large and very sharp tentacle-mouths and mouth- tentacles to attack foes within few dozen feet, crushing and grinding and chewing up most bodies, leaving the book purring in contentment. 

You may import an existing book into this item.",,,
,,400,Katou Sensei,Fate/Legends: The Land of The Rising Sun,"An advanced combat doll, of the same make and potentially even same appearance as Katou Danzou. A highly capable warrior and assassin, this doll is a loyal servant to your cause. But in truth, her real value is not in her physical form but the exhaustive database of martial, ninja and even some related magi techniques that have been uploaded to her mind. Centuries of data and teachings on these subjects, enough to bring even a complete amateur to the level of a master with enough time spent. The doll is an exceptional teacher, able to teach in both theoretical and practical terms to any of her students. Oddly enough, the doll prefers to wear glasses while teaching too. In future worlds, similar information can be found in the doll’s database on local martial and ninja techniques, excluding unique or particularly hard to find information.",,,
,,400,Chaldean Summoning Circle,Fate/Grand Master,"Chaldea has done more to advance the field of servant summoning than anyone in human history, and as the master of Chaldea you’re the rightful heir to all that progress. This summoning circle is a replica of the one in Chaldea’s summoning chamber save that it lacks a nuclear reactor: you’ll need to supply the mana for your summons on your own, which can be extremely taxing even for a powerful magus, but as long as you can provide enough mana to support them you can summon servants in future jumps and take them as companions using whatever companion options are available in those jumps. Further, this summoning circle allows the summoning of alternate versions of known servants; by reaching into parallel worlds you can summon a busty female Gilgamesh, adult versions of Nursery Rhyme or Jack the Ripper, and so on. Simply by altering the circle’s parameters you can filter the circle’s summoning results, such as making it summon exclusively female servants or only MILFs or lolis and so on.",,,
,,400,Backup Body,Fate/Grand Master,"The great Da Vinci has a vast number of tricks up her sleeves, not least of which is the spare body which she built for herself. You too have one of these spare bodies and are able to reincarnate once per jump upon your death into this spare frame. Unlike Da Vinci’s model, doing so won’t strip you of any powers or limit your abilities at all, and at any time before your death you can command this extra body as though it were an extension of yourself, even using your powers and expressing your own mind through it. Imagine the look on your master’s face if you ever decide to treat him to a threesome! The specific form that your spare body takes is up to you, it doesn’t necessarily need to be a loli or shota form.",,,
,,400,Ark of the Covenant,Fate/Legends: Oasis of Fantasy ,"A beautifully decorated wooden box, atop which sit a pair of winged figures. This is the Ark in which Moses laid the stones on which he carved the Ten Commandments he received from God. Somehow, regardless of your affiliations, you have come to be considered the rightful caretaker of this Ark. The box is heavy and unwieldy, far from something useful in combat. But touching the box without your permission or being considered worthy of the being that first exalted the Ark remains a way to end almost any fight. Any who trespass and touch the box will instantly be drained of all supernatural forms of energy within them, destroying spirits in a moment and leaving most others drained and powerless for their blasphemy. The energy is stored within the Ark, building up without limit, and should the Ark be opened, the stored energy will be unleashed on all those surrounding that are unworthy, even you should you not measure up to the standards of the divine being that created this effect.",,,
,,400,World Class Item,Grand Foreigner,"The World Class Items are relics of immense power from Yggdrasil. These relics can alter the entire world and affect any being regardless of their strength unless they are protected by another World Class Item. There are approximately two hundred different World Class Items from Yggdrasil and a number of new treasures from Fate as well. Each time you purchase this you may gain one World Class Item of your choice. You can purchase this option as many times as you can afford it. Lastly, there is a link in the notes section listing the known various World Class Items. Some notable World Class Items include Longinus, the Throne of Kings, and the Nameless Book of Spells.",,,
,,400,Dimensional Cross,The Holy Man of The Church Creek,"The Dimensional Cross is a sacred artifact utilized in the final trial of combat within the Holy Church. This cross serves as a crucial tool in determining the eligibility of individuals to wield a Holy Sword, ensuring that only those with both aptitude and ability are entrusted with such a powerful weapon. The Dimensional Cross creates a separate dimension to host participants. This dimension allows combatants to showcase their abilities without being hindered by environmental or personal damages, thanks to the cross's advanced safety features.

Within this dimension, the flow of time is greatly accelerated. Every day that passes on the outside is equivalent to three months experienced within the Dimensional Cross. Mortals who enter this space are safeguarded from the effects of aging, preserving their physical state indefinitely. This safety ensures that trainees can engage in rigorous combat training without the concerns of time passing them by.

The Dimensional Cross also houses a multitude of mechanical angels known as Sentinels. These Sentinels serve as formidable opponents, ranging in strength to thoroughly test the combat power of the trainees. These mechanical entities provide a challenging and realistic experience, pushing the boundaries of their abilities and enabling growth through intense combat encounters. There are thousands of these Sentinels and even seven twelve winged sentinels equal to Archangels in might. Should you need them you can also summon them to fight outside of the Dimension.",,,
,,400,Time Travel But Not Really,Fate/Grand Order: SkyrimAnon,"The Singularities are distortions in the timeline of the world. Appropriately, you must travel to their time in order to enter them. Chaldea’s solution for such a thing was a specific piece of technology, that of Rayshifting. Developed by Marisbury Animusphere, the process is fundamentally that of transforming a human into spiritrons, and sending them into the past, allowing them to alter it. Unfortunately, not everyone is compatible with the process, a compatibility that is needed to survive the Rayshifting, and the standard defenses of this World immediately undo any changes made to the timeline, should they not be protected by a powerful artifact like a Holy Grail.

Additionally, an unfortunate quirk of time travel is that those who are Rayshifted are not recognized by reality as belonging, marking them as an “unknown”, and resulting in an ambiguous existence. This is accounted for with the Rayshifting technology, coming attached to equipment that can monitor the existential values of those Rayshifted, correct any drift, and continuously confirm the existence of whoever is Rayshifted. If this was not done, the Rayshifted individual might find themselves changing ever so slightly, like a character whose characterization isn’t being kept consistent by the author, to use a literary metaphor.

With this purchase, you obtain enough equipment to Rayshift a team of up to 12 people. If you wish for more, an additional 200cp (100cp if you discounted this item) will give you another 12 Rayshifting coffins, a surcharge you can pay multiple times if you want to be able to Rayshift even more people. The magical energy generator it comes attached to is only enough to maintain those Rayshifts, so if you want to do something like send a Master with multiple Servants, you’ll need another source of additional magical energy to sustain those Servants. Still, this is as close to time travel as a cosmos that automatically corrects the timeline can get, and perhaps in future worlds, worlds where the timeline doesn’t fix itself without some powerful artifact blocking it, Rayshifting could function as true time travel?",,,
,,400,What Is A God?,Fate/Grand Order: Cosmos In The Lostbelt,"Living creatures of earth all possess some form of heart, something that provides an essential function that supports the entire body. Gods are no exception, and for them this serves as the Divine Core. And with this purchase, you get one of your very own. It takes the form of a palm-sized gem of whatever color most fits your nature, and is capable of shifting into a large ball a bit larger than two meters indiameter, and in this larger form it can defend itself by shooting beams of raw energy. Its main benefit is that it is a source of energy on par with a Holy Grail, even  if it lacks the Grail’s wish-granting properties. Instead, its properties become clear when implanted somewhere in your body.

Namely, it blocks all forms of mental interference, letting you retain your mind even if, say, you were absorbed by a god-eater in a quest for power, no matter how thorough his ‘digestion’ would otherwise be. Additionally it also prevents your body from aging or growing fatter from eating too much, functionally giving you an unchanging figure. And of course, if implanted in your body, it lets you regenerate it quite well, making you entirely unkillable if your Divine Core isn’t destroyed. It also fills you with divinity in a non-lethal manner if implanted, given that it makes you into a god.

Outside of the benefits of shoving an immensely powerful divine organ into yourself, you can also implant it into others to give them the same benefits, with an extra caveat; those people other than you who have this Divine Core implanted in them count as you for any mystical purposes, such as perhaps using your Authorities should you have any. Additionally, you can also activate this Divine Core alongside any abilities that make avatars or such in order to give them a connection to it, letting them form a copy of your Divine Core to be empowered by, although this copy won’t be able to exist outside the body of the avatar or whatever it is. And of course, if you have purchased the True Divinity perk then you get one purchase of this item for free. Finally, you can purchase more Divine Cores at 200cp a piece, 100cp if you’ve discounted the item. Unfortunately this extra surcharge still needs to be paid in full even if you’ve gotten the True Divinity perk.",,,
,,400,Rings of Burned History,Fate/Grand Order: SkyrimAnon,"What is this? For some reason, you’ve come to claim ownership of a massive magecraft construct, a ring of light as wide as the United States, hovering over the Planet, roughly above you. It lacks any energy it looks like, so only you or those with the right detection spells or technology can tell it’s there, but it has a few uses outside of simply hovering. First, it acts as a perfectly efficient storage of magical energy, not losing even a drop of energy no matter how long you leave it alone, as long as it’s not damaged of course. Secondly, you can command it to ‘burn’ things that you can see, transforming your target into pure magical energy that is immediately stored within the rings. Notably, things that have actual significance and history beyond its raw materials provide more magical energy, as its mystical complexity is burned alongside the target.

That said, do keep in mind that not everything is easy or even possible to incinerate without additional preparation, so something like gods or Servants would require a more personal touch, and even then burning those that are too powerful would be immensely difficult without extensive planning. The process isn’t instant either, just very swift, so those with the right abilities might still be able to defend themselves. You could also simply transfer energy from your personal reserves into it. The ring has an infinite capacity for magical energy, so you can just keep storing more and more magical energy into it without worry. And of course, you can utilize the energy stored in the rings however you like. Perhaps, if you somehow manage to burn an entire three millennia of human history, you’d have enough energy to blast straight through the core of the planet, or travel back in time to the beginning of the World?",,,
,,600,Kotatsu,Fate/Hollow Ataraxia,"A kotatsu for 600 CP? A Taiga has to eat. This kotatsu is very special, not only addictive and comforting, making you feel as if you’re home, but it also has restorative benefits. Anyone who is below the kotatsu will heal very rapidly, able to shake off most diseases within days and with little pain or even regrow a limb within a couple months. Additionally, if you celebrate New Years (wherever you are, whatever form such an idea might come in) and have a hearty feast, then when you take refuge under the kotatsu, you will be able to enter the mysterious world of the Taiga Dojo for 24 hours. Oh, why is this an item for Servants? Anyone who is or has been a Servant specifically in a Fate (or nasuverse) jump, when using the kotatsu, can instantly recover all of their mana/magic as well as heal any non-cursed wound.",,,
,,600,The Legacy of a Magician,Witch on the Holy Night,"At first, one might question what all the knickknacks and curios in this dusty attack are good for. These mystic codes make no sense! These grimoires and notes refer to principles alien to magecraft! But take a closer look: These are the personal effects of a Magician, the left- behind comprehensive research about how to use one of the True Magics as well as the reagents and artifacts needed to channel it as a professional magus would magecraft. It will take time and diligent study for even many of the greater mages, but with enough determination it might just be possible to unlock the power detailed here; a mediocre magus might take six or so generations to make that breakthrough. And if you know True Magic already? This trove is pretty much like having a mentor walking alongside you.",,,
,,600,Your Brain,Kara no kyokai: Ammy Edition,"...w h a t ? It’s your own goddamn brain, more of a copy of it thankfully, as you know, most people need a brain. I mean, seriously, it’s your brain in a jar. Upon death your consciousness is transferred into this brain, so...have fun living as a brain in a jar, unless you recover a body somehow. Could have some use...",,,
,,600,Four Fiend Sacred Gears: Poh,The Holy Man of The Church Creek,"Poh is a Taotie and considered the strongest of the Four Fiends. It has the power to devour anything. Its stomach contains an infinite capacity for storing anything including living beings, objects, magic, and attacks even from other Sacred Gears. It normally takes the form of a small horned beast with a mask. It however, can transform into its true form of a Taotie when needed.",,,
,,600,Four Fiend Sacred Gears: Griffin,The Holy Man of The Church Creek,"Griffin officially known as Qióngqí grants its user the power to control wind. The Sacred Gear takes the form of a large hawk, though it can transform into a much larger Griffin form. In this state its wind powers are significantly enhanced allowing it to fire wind blades and hurricane level gusts.",,,
,,600,Divine Reconstruction,Witch on the Holy Night,"The crowning masterwork of Touko Aozaki’s Rune collection are three replicas of Primeval Runes: Divine Magic Crests created by Odin himself. Indestructible by modern magecraft, their function is as simple as it is terrifying: To amplify the curses of other runes by tens of millions of times. Somehow, you’ve found or wrought an artifact of similar calibre: A magecraft-reconstructed replica embodying a concept from the Age of the Gods, resembling a lesser version of a storied treasure from myth. Whether you’ve somehow found a means to partially replicate a legendary Reality Marble or swing a fleeting phantasm of a certain golden sword, do remember one thing about your terrifying power: It is ultimately still magecraft-a partial copy of something greater, and will ultimately lose a shootout to greater Mysteries such as True Magic.",,,
,,600,Fragment of Paradise,Fate/Stay Night,"A single large shard of Avalon, the Noble Phantasm of King Arthur, his legendary sheath that held Excalibur. Implanted within your body is this shard, undetectable to any outside observer as it takes a purely spiritual form whilst inside your body, though you can remove the shard at any time. Whilst not near the full power of Avalon itself, thus it cannot be used in the same defensive manner, the shard does confer a vastly extended lifespan to its owner, several centuries of life in your prime at least, as well as a significant healing factor. Injuries that would take a normal human months to heal, if ever, would disappear within a week and even wounds that could not naturally heal such as severed limbs would heal eventually, given enough time.",,,
,,600,The Big One,Fate/Apocrypha,"They might have an army, but you have...oh dear. I’m not sure anyone’s supposed to have this, but if you’re paying for it then I suppose it’s fair. What you have here is the almost entirely complete Golem Keter Malkuth, an attempt to copy the Primordial Human Adam. Exactly why the designer considered Adam to look like a monster with multiple eyes more than 15 metres tall is a mystery. Normally this would take a particular golden-masked Caster two months of work to finalize, finished off by a three-day attunement process, but you’re paying a lot for it so you can skip that for now. While having a gigantic golem to punch through castle walls and roar with enough power to deflect projectiles from Archer Servants is all well and good, that’s not the most interesting feature. It’s essentially an autonomous Reality Marble with the ability to continually repaint the world into ‘Paradise’ for as long as it exists. Just by stepping on the ground it is able to supply itself with energy, which it needs on a constant basis to keep working, converting its surroundings into ‘Eden’, and as long as its feet are on the ground it will endlessly regenerate at a rapid pace – so make sure it doesn’t get tripped over or launched into the air or oceans. While it starts off as a ‘mere’ fifteen-meter sized giant that could be defeated by most Servants, once it gets going and the ‘Eden’ it creates expands, this giant’s size will change and multiply till it reaches a thousand metres in height. At that point, you’d need a group of first-rate Servants to be able to destroy it. The speed of growth can be enhanced via absorbing certain magical materials, such as homunculi or other golems. This creature is non-sentient, and you can control it by riding on its shoulder or giving it instructions beforehand, and if destroyed will reappear in the form of a stone eye in your Warehouse that will take two months to regrow once planted somewhere with sufficient resources available, though it will be ready to go at the start of each Jump. To start it off in either case, you’ll need something potent for the core equal to a first-class magus. You could make do with less, but it’ll be considerably less powerful the less perfect the core is, and why wouldn’t you want the best golem you could have? Since it’s technically based on a work-in- progress, it’ll even retain and re-develop any enhancements or changes you make to it, so long as you want it to keep them. It’s 100% loyal to you, can’t be hijacked or turned against yourself or your allies, and you and any allies are unaffected by any negative effects that might occur due to the ‘Eden’ it creates.",,,
,,600,Backup Body,Kara no Kyokai: Ammy Edition,"Whoa, whoa, where'd you get these? I doubt Touko would share this kind of high-level puppetry with anybody, let alone you. That's beside the point, though, you're probably wondering why there are 10 perfect copies of you laying there all of the sudden. Those 10, seemingly lifeless copies of you are your new puppet body backup drive, and you share a low level hive mind with them, with you being the primary consciousness in the collection. When your current body dies, one of the puppets wakes up, and continues in your place, essentially becoming the new central intelligence in your little puppet gestalt. Each puppet is essentially you in every way, being no more or less in terms of ability, though some of your will to accomplish a previous task may be lost in the process of the puppet taking your place. 

You have a self replenishing stock of 10 puppets per jump, and no, you can’t stock up on them, any more than 10 you must make yourself. What do you mean is it 'still you?' when you die? Who cares?",,,
